describe,evaluate,introduce,movie_name,serial_number,star
当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,349569人评价,.,死亡诗社,47,9.0
一张面具背后的理想与革命。,528609人评价,.,V字仇杀队,48,8.8
海豚的微笑，是世界上最高明的伪装。,215513人评价,.,海豚湾,49,9.3
优雅的孤独。,237606人评价,.,教父2,50,9.1
承前启后的史诗篇章。,334516人评价,.,指环王2：双塔奇兵,51,9.0
传说的开始。,374573人评价,.,指环王1：魔戒再现,52,8.9
爱是一切逻辑和原由。,372691人评价,.,美丽心灵,53,8.9
人生不能像做菜，把所有的料都准备好了才下锅。,257099人评价,.,饮食男女,54,9.1
暗恋的极致。,459955人评价,.,情书,55,8.8
受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,242468人评价,.,素媛,56,9.1
动物版《哈姆雷特》。,352244人评价,.,狮子王,57,8.9
音乐能化解仇恨。,245993人评价,.,钢琴家,58,9.1
往事如烟，无处祭奠。,211940人评价,.,美国往事,59,9.1
奔跑的孩子是天使。,177857人评价,.,小鞋子,60,9.2
警察抓小偷，老鼠玩死猫。,513704人评价,.,七宗罪,61,8.8
以戏谑来戏谑戏谑。,369459人评价,.,被嫌弃的松子的一生,62,8.9
孪生蝙蝠侠大战克隆金刚狼。,419507人评价,.,致命魔术,63,8.8
在时间之河里感受溺水之苦。,478116人评价,.,本杰明·巴顿奇事,64,8.8
“不要跟我比惨，我比你更惨”再适合这部电影不过了。,240045人评价,.,末代皇帝,65,9.0
美丽无罪。,444754人评价,.,西西里的美丽传说,66,8.8
法式小清新。 ,572179人评价,.,天使爱美丽,67,8.7
视觉革命。,352033人评价,.,黑客帝国,68,8.9
你给我翻译翻译，神马叫做TMD的惊喜。,778401人评价,.,让子弹飞,69,8.7
美利坚精神输出大片No1.,300601人评价,.,拯救大兵瑞恩,70,8.9
你以为你以为的就是你以为的。,471629人评价,.,看不见的客人,71,8.7
用音乐化解仇恨，让歌声串起美好。,280855人评价,.,音乐之声,72,8.9
故事的高级讲法。,411132人评价,.,低俗小说,73,8.8
史诗大片的典范。,343190人评价,.,勇敢的心,74,8.8
浪漫忧郁的成人童话。,580904人评价,.,剪刀手爱德华,75,8.7
经典之作，历久弥新。,136499人评价,.,大闹天宫,76,9.3
安东尼·霍普金斯的顶级表演。,420094人评价,.,沉默的羔羊,77,8.8
人的命运被自己瞬间的抉择改变。,461374人评价,.,蝴蝶效应,78,8.7
童话世界的开端。,349871人评价,t,哈利·波特与魔法石,79,8.8
爱情纠缠，男女一致。,303239人评价,.,春光乍泄,80,8.8
死可能是一道门，逝去并不是终结，而是超越，走向下一程。,361667人评价,.,入殓师,81,8.8
人生中应该拥有这样的一段豁然开朗。,334817人评价,.,心灵捕手,82,8.8
骗子大师和执著警探的你追我跑故事。 ,302190人评价,.,猫鼠游戏,83,8.8
小清新的故事里注入了大历史的情怀。,401890人评价,.,布达佩斯大饭店,84,8.8
昔日翩翩少年，今日大腹便便。,442252人评价,.,禁闭岛,85,8.7
你是我最好的朋友，你是我唯一的朋友 。,262402人评价,.,玛丽和马克思,86,8.9
一场华丽的意淫。,328178人评价,o,阳光灿烂的日子,87,8.8
深入内心的恐怖，出人意料的结局。,280676人评价,.,第六感,88,8.8
人与自然的战争史诗。,280687人评价,.,幽灵公主,89,8.8
寂寞没有期限。,400063人评价,.,重庆森林,90,8.7
人言可畏。,165580人评价,.,狩猎,91,9.1
最不可能的那个人永远是最可能的。,385953人评价,t,致命ID,92,8.7
尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,194397人评价,.,穿条纹睡衣的男孩,93,8.9
每个人心中都有一座断背山。,383883人评价,.,断背山,94,8.7
约翰尼·德普的独角戏。,425950人评价,.,加勒比海盗,95,8.6
抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,300201人评价,.,大鱼,96,8.7
绝对意义上的美轮美奂。,639046人评价,.,阿凡达,97,8.6
大时代中的人生，小人物的悲喜。,115154人评价,.,摩登时代,98,9.2
没有一人完全善，也没有一人完全恶。,406345人评价,.,告白,99,8.7
我们都曾经是一一。,183376人评价,.,一一,100,9.0
百看不厌。 ,326845人评价,.,射雕英雄传之东成西就,101,8.7
相逢只要一瞬间，等待却像是一辈子。,269176人评价,.,甜蜜蜜,102,8.8
再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,322278人评价,.,阳光姐妹淘,103,8.8
年度最佳date movie。,435495人评价,.,消失的爱人,104,8.7
缘分是个连绵词，最美不过一瞬。,268469人评价,.,爱在黎明破晓前,105,8.7
被上帝抛弃了的上帝之城。,178876人评价,.,上帝之城,106,8.9
那些静得只能听见呼吸的日子里，你明白孤独即生活。,175260人评价,.,小森林 夏秋篇,107,8.9
少女情怀总是诗。,208024人评价,.,侧耳倾听,108,8.8
我是一个演员。,393257人评价,.,喜剧之王,109,8.6
两张绝世的脸。 ,320823人评价,.,倩女幽魂,110,8.6
恐怖分子的“秋菊打官司”。,282206人评价,.,恐怖直播,111,8.7
动画片的圣经。,207914人评价,.,风之谷,112,8.8
九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,237189人评价,.,爱在日落黄昏时,113,8.8
穷尽一生，我们要学会的，不过是彼此拥抱。,213738人评价,.,超脱,114,8.8
梦的勾结。,167399人评价,.,红辣椒,115,8.9
从没见过那么流氓的温柔，从没见过那么温柔的流氓。,228723人评价,.,菊次郎的夏天,116,8.8
和谐的生活离不开摸头与被摸头。,345991人评价,.,驯龙高手,117,8.7
有时候幸福需要等一等。 ,265275人评价,.,幸福终点站,118,8.7
Mr. I Don't Care其实也有Care的时候。,465533人评价,.,神偷奶爸,119,8.5
曾经的那段美好会沉淀为一辈子的记忆。,256636人评价,.,借东西的小人阿莉埃蒂,120,8.7
关于连环杀人悬案的集体回忆。,248382人评价,.,杀人回忆,121,8.7
时代悲歌。,93131人评价,.,七武士,122,9.2
岁月流逝，来日可追。,350133人评价,.,岁月神偷,123,8.6
沉醉在电影的情感和视听氛围中无法自拔。,235976人评价,.,请以你的名字呼唤我,124,8.8
幸福是生生不息，却难以触及的远。 ,236449人评价,子,萤火虫之墓,125,8.7
不要给它起名字，起了名字就有感情了。,296698人评价,.,怪兽电力公司,126,8.6
尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,151674人评价,.,小森林 冬春篇,127,9.0
10年的完美句点。,332490人评价,.,哈利·波特与死亡圣器(下),128,8.7
像吃了苏打饼一样干脆的电影。,214615人评价,.,谍影重重3,129,8.7
中国家庭的喜怒哀乐忍。,166123人评价,.,喜宴,130,8.8
电影诗。,302441人评价,.,东邪西毒,131,8.6
真相就在眼前。,232535人评价,.,电锯惊魂,132,8.7
上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,444205人评价,.,贫民窟的百万富翁,133,8.5
老少皆宜，这就是好莱坞动画的魅力。,435149人评价,.,疯狂原始人,134,8.7
一个针管引发的血案。,325078人评价,.,记忆碎片,135,8.6
《我是山姆》的《美丽人生》。,217794人评价,.,7号房的礼物,136,8.7
黑暗之美。,481385人评价,.,黑天鹅,137,8.5
触不到的恋人。,200791人评价,.,萤火之森,138,8.8
爱，是个动词。,359665人评价,.,真爱至上,139,8.5
英雄泪短，兄弟情长。 ,215298人评价,.,英雄本色,140,8.6
Balalala~~~,453697人评价,.,超能陆战队,141,8.6
生活在自己的世界里，也可以让周围的人显得可笑和渺小。,235503人评价,.,雨人,142,8.6
荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,223971人评价,.,心迷宫,143,8.7
诺兰就是保证。,346432人评价,.,蝙蝠侠：黑暗骑士崛起,144,8.6
当这个世界闭上双眼，他却敞开了怀抱。,141482人评价,.,卢旺达饭店,145,8.9
华太师是黄霑，吴镇宇四大才子之一。,418193人评价,.,唐伯虎点秋香,146,8.5
大海啊，不全是水。,107409人评价,.,海洋,147,9.0
爱是摈弃傲慢与偏见之后的曙光。,359970人评价,.,傲慢与偏见,148,8.5
始于荒诞，止于更荒诞。,179445人评价,.,荒蛮故事,149,8.8
香港浪漫主义警匪动作片的巅峰之作。,182443人评价,.,纵横四海,150,8.7
我们都有权利不与自己的过去和解。,245720人评价,.,海边的曼彻斯特,151,8.6
任何信念的力量，都无法改变命运。,157252人评价,.,教父3,152,8.8
永远看不腻的喜剧。,122286人评价,.,虎口脱险,153,8.9
我的平常生活就是他人的幸福。,93198人评价,.,无人知晓,154,9.1
把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,246911人评价,.,时空恋旅人,155,8.7
坏人的好总是比好人的好来得更感人。,98555人评价,.,完美的世界,156,9.0
,596294人评价,.,寻梦环游记,157,9.0
跨度十五年的欢乐与泪水。,225422人评价,.,玩具总动员3,158,8.8
传奇，不是每个人都可以拥有。,165644人评价,.,燃情岁月,159,8.7
偷情本没有这样美。,288597人评价,.,花样年华,160,8.5
爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,332119人评价,.,恋恋笔记本,161,8.5
Jared Leto的腿比女人还美！,222356人评价,.,达拉斯买家俱乐部,162,8.7
优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,387462人评价,.,血战钢锯岭,163,8.7
有一些东西不应该被遗忘。,131893人评价,,二十二,164,8.7
骨灰级歌舞片。,106695人评价,.,雨中曲,165,9.0
中国式内在的美国电影。,146606人评价,n,魂断蓝桥,166,8.8
爱上未来的你。 ,213211人评价,.,穿越时空的少女,167,8.6
不可猜的青春迷笛。 ,277942人评价,.,猜火车,168,8.5
爱并不需要智商 。,124973人评价,.,我是山姆,169,8.8
松鼠才是角儿。,320361人评价,.,冰川时代,170,8.5
对爱的执着，可以超越一切。,221593人评价,.,人工智能,171,8.6
这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,277487人评价,.,爆裂鼓手,172,8.6
愿我们都不用长大，每一座城堡都能永远存在。,277844人评价,.,头脑特工队,173,8.7
热血沸腾，那个低俗、性感的无耻混蛋又来了。,300371人评价,.,被解救的姜戈,174,8.6
好的剧本是，就算你猜到了结局也猜不到全部。,119203人评价,.,未麻的部屋,175,8.8
人生的N种可能性。,149174人评价,.,罗生门,176,8.7
世界离独裁只有五天。,152631人评价,.,浪潮,177,8.7
一个单凭体香达到高潮的男人。,316889人评价,.,香水,178,8.4
当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,305771人评价,.,朗读者,179,8.5
王家卫是一种风格，张国荣是一个代表。,246032人评价,.,阿飞正传,180,8.5
穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,590982人评价,.,你的名字。,181,8.4
被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,189180人评价,.,房间,182,8.8
坚硬的信仰。,149637人评价,.,可可西里,183,8.7
不要企图在重复中寻找已经失去的爱。,383795人评价,.,恐怖游轮,184,8.4
他给机器起名“克里斯托弗”，因为这是他初恋的名字。,301462人评价,.,模仿游戏,185,8.6
惠及一生的美丽。,153341人评价,.,一个叫欧维的男人决定去死,186,8.8
只有有信仰的人才能说出事实真相。,150439人评价,.,一次别离,187,8.7
养狗三日，便会对你终其一生。,75360人评价,.,忠犬八公物语,188,9.1
做一颗让别人需要你的棋子。,196610人评价,.,战争之王,189,8.6
诺兰的牛逼来源于内心散发出的恐惧。,93882人评价,.,追随,190,8.9
宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,228973人评价,.,魔女宅急便,191,8.5
天使与魔鬼的冲撞。,195778人评价,.,撞车,192,8.6
哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,223461人评价,.,谍影重重,193,8.5
来啊，互相伤害啊！,252088人评价,.,完美陌生人,194,8.6
天使保护事件始末。,99839人评价,.,地球上的星星,195,8.9
弱者送给弱者的一刀。,125700人评价,.,牯岭街少年杀人事件,196,8.8
谁说王家卫镜头很晃？,185873人评价,.,谍影重重2,197,8.6
想你时你在闹海。,98291人评价,.,哪吒闹海,198,8.9
故事的反转与反转，分裂电影的始祖。,99741人评价,s,惊魂记,199,8.9
人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,260674人评价,.,青蛇,200,8.5
一场没有春天的噩梦。,127410人评价,.,梦之安魂曲,201,8.7
迪士尼和皮克斯拿错剧本的产物。,228889人评价,.,无敌破坏王,202,8.7
不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,184445人评价,.,黑客帝国3：矩阵革命,203,8.6
宝莱坞的萝莉与大叔。,207312人评价,.,小萝莉的猴神大叔,204,8.5
爱我就给我看你的播放列表。,204434人评价,.,再次出发之纽约遇见你,205,8.5
是枝裕和的家庭习作。,168008人评价,.,海街日记,206,8.7
嬉笑怒骂，调风动月。,217337人评价,.,新龙门客栈,207,8.5
东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,60890人评价,.,东京物语,208,9.2
日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,106893人评价,.,步履不停,209,8.8
少见的超越首部的续集，动作片中的经典。,164143人评价,.,终结者2：审判日,210,8.6
邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,458244人评价,.,源代码,211,8.4
黑小鸭速效美白记。,533716人评价,.,初恋这件小事,212,8.3
天使暂时离开。,123579人评价,.,绿里奇迹,213,8.7
永远的小人物，伟大的卓别林。,53593人评价,.,城市之光,214,9.2
没有了退路，只好飞向自由。,120031人评价,.,末路狂花,215,8.7
所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,137630人评价,.,爱在午夜降临前,216,8.8
中国版《两杆大烟枪》。,370589人评价,n,疯狂的石头,217,8.3
青春就是放弃和怀念。,350519人评价,.,秒速5厘米,218,8.3
昆汀同学越来越变态了，比北野武还杜琪峰。,253541人评价,.,无耻混蛋,219,8.5
科幻真正的魅力不是视觉效果能取代的。 ,209997人评价,.,这个男人来自地球,220,8.5
类型片的极致。 ,160010人评价,.,勇闯夺命岛,221,8.6
生病的E.T.皮肤的颜色就像柿子饼。,178604人评价,.,E.T. 外星人,222,8.5
在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。,115316人评价,.,碧海蓝天,223,8.7
当发哥的风衣、墨镜出现在了凯奇身上⋯⋯,240894人评价,.,变脸,224,8.4
世界上有那么多女人那么多酒馆，但她偏偏走进我的这家。,140885人评价,.,卡萨布兰卡,225,8.6
最棒的西部片。,60220人评价,f,黄金三镖客,226,9.1
我完全康复了。,208028人评价,.,发条橙,227,8.5
小成本大魅力。,220164人评价,.,彗星来的那一夜,228,8.4
新闻人的理性求真。,149099人评价,.,聚焦,229,8.8
生命不止，摇滚不死。,180625人评价,.,海盗电台,230,8.6
每个人的内心都是深不可测的大海。 ,208883人评价,.,美国丽人,231,8.5
每个美丽事物背后都是滴血的现实。,157075人评价,.,血钻,232,8.5
我不信仰上帝，但我敬畏上帝。,136461人评价,.,非常嫌疑犯,233,8.6
皇上无话儿。,384430人评价,.,国王的演讲,234,8.3
出门必备：本草纲目。,143992人评价,.,荒野生存,235,8.6
"In memory, love lives forever...",191696人评价,.,英国病人,236,8.5
还原真实而残酷的战争。,137564人评价,.,黑鹰坠落,237,8.6
你要相信，这世上真的有爱存在，不管在什么年纪 ,68798人评价,.,我爱你,238,9.0
最美的飞翔。,56410人评价,.,迁徙的鸟,239,9.1
用剩余不多的时间，去燃烧整个生命。,153002人评价,.,遗愿清单,240,8.5
热血沸腾，相当完美的娱乐拳击大餐。,96986人评价,.,勇士,241,8.9
一个人的独角戏。,156987人评价,.,荒岛余生,242,8.5
现代科幻电影的开山之作，最伟大导演的最伟大影片。,112443人评价,.,2001太空漫游,243,8.7
一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。,114105人评价,.,枪火,244,8.7
现实与童话交相辉映的旅程。,116061人评价,.,燕尾蝶,245,8.6
乐观比一切都有力量。,120898人评价,.,叫我第一名,246,8.6
大卫·林奇的梦境迷宫。,262018人评价,.,穆赫兰道,247,8.3
一部能引人思考的科幻励志片。,101615人评价,.,千钧一发,248,8.7
捍卫人权只是信仰，一点不妨碍其行为的残忍。,111024人评价,.,大卫·戈尔的一生,249,8.6
纯净原始的笑与感动。,106627人评价,u,上帝也疯狂,250,8.7
